models=Random WayPoint	locationinitializer=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	maxpausetime=10	minspeed=5	maps=squarereflect	height=500	width=500	maxspeed=10	rangealgorithms=NullPowerAlgorithm	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=10	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
61	6	158	320	5.11	5.08	0
61	7	190	221	6.93	5.71	0
61	8	125	180	6.3	1.29	0
61	9	447	197	6.74	0.05	0
62	0	93	283	5.45	4.29	0
62	1	112	165	6.37	5.09	0
62	2	79	463	9.76	5.07	0
62	3	261	103	6.17	3.82	0
62	4	323	348	5.19	4.13	0
62	5	114	386	8.14	5.29	0
62	6	160	315	5.11	5.08	0
62	7	190	221	6.93	5.71	0
62	8	127	186	6.3	1.29	0
62	9	447	197	6.74	0.05	0
63	0	91	278	5.45	4.29	0
63	1	114	159	6.37	5.09	0
63	2	82	454	9.76	5.07	0
63	3	257	100	6.17	3.82	0
63	4	321	343	5.19	4.13	0
63	5	119	379	8.14	5.29	0
63	6	162	310	5.11	5.08	0
63	7	190	221	6.93	5.71	0
63	8	128	192	6.3	1.29	0
63	9	447	197	6.74	0.05	0
64	0	89	273	5.45	4.29	0
64	1	117	153	6.37	5.09	0
64	2	85	444	9.76	5.07	0
64	3	252	96	6.17	3.82	0
64	4	318	339	5.19	4.13	0
64	5	123	372	8.14	5.29	0
64	6	164	306	5.11	5.08	0
64	7	190	221	6.93	5.71	0
64	8	130	198	6.3	1.29	0
64	9	441	195	6.28	3.52	0
65	0	86	268	5.45	4.29	0
65	1	119	147	6.37	5.09	0
65	2	89	435	9.76	5.07	0
65	3	247	92	6.17	3.82	0
65	4	315	335	5.19	4.13	0
65	5	127	365	8.14	5.29	0
65	6	166	301	5.11	5.08	0
65	7	190	221	6.93	5.71	0
65	8	132	204	6.3	1.29	0
65	9	435	193	6.28	3.52	0
66	0	84	263	5.45	4.29	0
66	1	121	141	6.37	5.09	0
66	2	92	426	9.76	5.07	0
66	3	242	88	6.17	3.82	0
66	4	312	330	5.19	4.13	0
66	5	132	358	8.14	5.29	0
66	6	167	296	5.11	5.08	0
66	7	196	217	6.89	5.77	0
66	8	134	210	6.3	1.29	0
66	9	430	190	6.28	3.52	0
67	0	82	258	5.45	4.29	0
67	1	124	135	6.37	5.09	0
67	2	95	417	9.76	5.07	0
67	3	237	84	6.17	3.82	0
67	4	309	326	5.19	4.13	0
67	5	136	352	8.14	5.29	0
67	6	169	291	5.11	5.08	0
67	7	202	214	6.89	5.77	0
67	8	135	216	6.3	1.29	0
67	9	424	188	6.28	3.52	0
68	0	80	253	5.45	4.29	0
68	1	126	129	6.37	5.09	0
68	2	99	408	9.76	5.07	0
68	3	233	80	6.17	3.82	0
68	4	306	322	5.19	4.13	0
68	5	141	345	8.14	5.29	0
68	6	171	287	5.11	5.08	0
68	7	208	211	6.89	5.77	0
68	8	137	222	6.3	1.29	0
68	9	418	186	6.28	3.52	0
69	0	77	248	5.45	4.29	0
69	1	128	123	6.37	5.09	0
69	2	102	399	9.76	5.07	0
69	3	228	76	6.17	3.82	0
69	4	303	317	5.19	4.13	0
69	5	145	338	8.14	5.29	0
69	6	173	282	5.11	5.08	0
69	7	214	207	6.89	5.77	0
69	8	139	228	6.3	1.29	0
69	9	412	183	6.28	3.52	0
70	0	75	243	5.45	4.29	0
70	1	131	117	6.37	5.09	0
70	2	106	390	9.76	5.07	0
70	3	223	72	6.17	3.82	0
70	4	301	313	5.19	4.13	0
70	5	149	331	8.14	5.29	0
70	6	175	277	5.11	5.08	0
70	7	220	204	6.89	5.77	0
70	8	141	234	6.3	1.29	0
70	9	406	181	6.28	3.52	0
71	0	73	238	5.45	4.29	0
71	1	133	111	6.37	5.09	0
71	2	109	380	9.76	5.07	0
71	3	218	68	6.17	3.82	0
71	4	298	309	5.19	4.13	0
71	5	154	324	8.14	5.29	0
71	6	176	273	5.11	5.08	0
71	7	226	201	6.89	5.77	0
